1-2 1-65,65-2
6-13 6-65,65-5,5-77,77-13
6-13 6-78,78-14,14-66,66-13
6-14 6-78,78-14
6-15 6-65,65-7,7-79,79-15
6-15 6-78,78-14,14-66,66-15
6-16 6-65,65-8,8-80,80-16
6-16 6-78,78-14,14-66,66-16
6-17 6-65,65-1,1-73,73-17
6-17 6-78,78-22,22-67,67-17
6-18 6-65,65-2,2-74,74-18
6-18 6-78,78-22,22-67,67-18
6-19 6-65,65-3,3-75,75-19
6-19 6-78,78-22,22-67,67-19
6-20 6-65,65-4,4-76,76-20
6-20 6-78,78-22,22-67,67-20
6-21 6-65,65-5,5-77,77-21
6-21 6-78,78-22,22-67,67-21
6-22 6-78,78-22
6-23 6-65,65-7,7-79,79-23
6-23 6-78,78-22,22-67,67-23
6-24 6-65,65-8,8-80,80-24
6-24 6-78,78-22,22-67,67-24
6-25 6-65,65-1,1-73,73-25
6-25 6-78,78-30,30-68,68-25
6-26 6-65,65-2,2-74,74-26
6-26 6-78,78-30,30-68,68-26
6-27 6-65,65-3,3-75,75-27
6-27 6-78,78-30,30-68,68-27
6-28 6-65,65-4,4-76,76-28
6-28 6-78,78-30,30-68,68-28
6-29 6-65,65-5,5-77,77-29
6-29 6-78,78-30,30-68,68-29
6-30 6-78,78-30
6-31 6-65,65-7,7-79,79-31
6-31 6-78,78-30,30-68,68-31
6-32 6-65,65-8,8-80,80-32
6-32 6-78,78-30,30-68,68-32
6-33 6-65,65-1,1-73,73-33
6-33 6-78,78-38,38-69,69-33
6-34 6-65,65-2,2-74,74-34
6-34 6-78,78-38,38-69,69-34
6-35 6-65,65-3,3-75,75-35
6-35 6-78,78-38,38-69,69-35
6-36 6-65,65-4,4-76,76-36
6-36 6-78,78-38,38-69,69-36
6-37 6-65,65-5,5-77,77-37
6-37 6-78,78-38,38-69,69-37
6-38 6-78,78-38
6-39 6-65,65-7,7-79,79-39
6-39 6-78,78-38,38-69,69-39
6-40 6-65,65-8,8-80,80-40
6-40 6-78,78-38,38-69,69-40
6-41 6-65,65-1,1-73,73-41
6-41 6-78,78-46,46-70,70-41
6-42 6-65,65-2,2-74,74-42
6-42 6-78,78-46,46-70,70-42
6-43 6-65,65-3,3-75,75-43
6-43 6-78,78-46,46-70,70-43
6-44 6-65,65-4,4-76,76-44
6-44 6-78,78-46,46-70,70-44
6-45 6-65,65-5,5-77,77-45
6-45 6-78,78-46,46-70,70-45
6-46 6-78,78-46
6-47 6-65,65-7,7-79,79-47
6-47 6-78,78-46,46-70,70-47
6-48 6-65,65-8,8-80,80-48
6-48 6-78,78-46,46-70,70-48
6-49 6-65,65-1,1-73,73-49
6-49 6-78,78-54,54-71,71-49
6-50 6-65,65-2,2-74,74-50
6-50 6-78,78-54,54-71,71-50
6-51 6-65,65-3,3-75,75-51
6-51 6-78,78-54,54-71,71-51
6-52 6-65,65-4,4-76,76-52
6-52 6-78,78-54,54-71,71-52
6-53 6-65,65-5,5-77,77-53
6-53 6-78,78-54,54-71,71-53
6-54 6-78,78-54
6-55 6-65,65-7,7-79,79-55
6-55 6-78,78-54,54-71,71-55
6-56 6-65,65-8,8-80,80-56
6-56 6-78,78-54,54-71,71-56
6-57 6-65,65-1,1-73,73-57
6-57 6-78,78-62,62-72,72-57
6-58 6-65,65-2,2-74,74-58
6-58 6-78,78-62,62-72,72-58
6-59 6-65,65-3,3-75,75-59
6-59 6-78,78-62,62-72,72-59
6-60 6-65,65-4,4-76,76-60
6-60 6-78,78-62,62-72,72-60
6-61 6-65,65-5,5-77,77-61
6-61 6-78,78-62,62-72,72-61
6-62 6-78,78-62
6-63 6-65,65-7,7-79,79-63
6-63 6-78,78-62,62-72,72-63
6-64 6-65,65-8,8-80,80-64
6-64 6-78,78-62,62-72,72-64
7-1 7-65,65-1
7-2 7-65,65-2
7-3 7-65,65-3
7-4 7-65,65-4
7-5 7-65,65-5
7-6 7-65,65-6
7-8 7-65,65-8
7-9 7-65,65-1,1-73,73-9
7-9 7-79,79-15,15-66,66-9
7-10 7-65,65-2,2-74,74-10
7-10 7-79,79-15,15-66,66-10
7-11 7-65,65-3,3-75,75-11
7-11 7-79,79-15,15-66,66-11
7-12 7-65,65-4,4-76,76-12
7-12 7-79,79-15,15-66,66-12
7-13 7-65,65-5,5-77,77-13
7-13 7-79,79-15,15-66,66-13
7-14 7-65,65-6,6-78,78-14
7-14 7-79,79-15,15-66,66-14
7-15 7-79,79-15
7-16 7-65,65-8,8-80,80-16
7-16 7-79,79-15,15-66,66-16
7-17 7-65,65-1,1-73,73-17
7-17 7-79,79-23,23-67,67-17
7-18 7-65,65-2,2-74,74-18
7-18 7-79,79-23,23-67,67-18
7-19 7-65,65-3,3-75,75-19
7-19 7-79,79-23,23-67,67-19
7-20 7-65,65-4,4-76,76-20
7-20 7-79,79-23,23-67,67-20
7-21 7-65,65-5,5-77,77-21
7-21 7-79,79-23,23-67,67-21
7-22 7-65,65-6,6-78,78-22
7-22 7-79,79-23,23-67,67-22
7-23 7-79,79-23
7-24 7-65,65-8,8-80,80-24
7-24 7-79,79-23,23-67,67-24
7-25 7-65,65-1,1-73,73-25
7-25 7-79,79-31,31-68,68-25
7-26 7-65,65-2,2-74,74-26
7-26 7-79,79-31,31-68,68-26
7-27 7-65,65-3,3-75,75-27
7-27 7-79,79-31,31-68,68-27
7-28 7-65,65-4,4-76,76-28
7-28 7-79,79-31,31-68,68-28
7-29 7-65,65-5,5-77,77-29
7-29 7-79,79-31,31-68,68-29
7-30 7-65,65-6,6-78,78-30
7-30 7-79,79-31,31-68,68-30
7-31 7-79,79-31
7-32 7-65,65-8,8-80,80-32
7-32 7-79,79-31,31-68,68-32
7-33 7-65,65-1,1-73,73-33
7-33 7-79,79-39,39-69,69-33
7-34 7-65,65-2,2-74,74-34
7-34 7-79,79-39,39-69,69-34
7-35 7-65,65-3,3-75,75-35
7-35 7-79,79-39,39-69,69-35
7-36 7-65,65-4,4-76,76-36
7-36 7-79,79-39,39-69,69-36
7-37 7-65,65-5,5-77,77-37
7-37 7-79,79-39,39-69,69-37
7-38 7-65,65-6,6-78,78-38
7-38 7-79,79-39,39-69,69-38
7-39 7-79,79-39
